Name	expansion
Mine	Base
Mining Village	Intrigue
Minion	Intrigue
Mint	Prosperity
Miser	Adventures
Mission	Adventures
Moat	Base
Modify	Allies
Monastery	Nocturne
Moneylender	Base
Monkey	Seaside
Monument	Prosperity
Mountain Folk	Allies
Mountain Pass	Empires
Mountain Village	Renaissance
Mountebank	Prosperity
Museum	Empires
Mystic	Dark Ages
Native Village	Seaside
Navigator	Seaside
Necromancer	Nocturne
Night Watchman	Nocturne
Noble Brigand	Hinterlands
Nobles	Intrigue
Nomad Camp	Hinterlands
Nomads	Hinterlands
Oasis	Hinterlands
Obelisk	Empires
Odysseys	Allies
Old Witch	Renaissance
Oracle	Hinterlands
Orchard	Empires
Order of Astrologers	Allies
Order of Masons	Allies
Outpost	Seaside
Overlord	Empires
Paddock	Menagerie
Page	Adventures
Pageant	Renaissance
Palace	Empires
Pathfinding	Adventures
Patrician/Emporium	Empires
Patrol	Intrigue
Patron	Renaissance
Pawn	Intrigue
Peaceful Cult	Allies
Pearl Diver	Seaside
Peasant	Adventures
Peddler	Prosperity
Philosopher's Stone	Alchemy
Piazza	Renaissance
Pilgrimage	Adventures
Pillage	Dark Ages
Pirate	Seaside
Pirate Ship	Seaside
Pixie	Nocturne
Plan	Adventures
Plateau Shepherds	Allies
Plaza	Guilds
Poacher	Base
Pooka	Nocturne
Poor House	Dark Ages
Populate	Menagerie
Port	Adventures
Possession	Alchemy
Priest	Renaissance
Prince	Promo
Procession	Dark Ages
Pursue	Menagerie
Quarry	Prosperity
Quest	Adventures
Rabble	Prosperity
Raid	Adventures
Raider	Nocturne
Ranger	Adventures
Ratcatcher	Adventures
Rats	Dark Ages
Raze	Adventures
Reap	Menagerie
Rebuild	Dark Ages
Recruiter	Renaissance
Relic	Adventures
Remake	Cornucopia
Remodel	Base
Replace	Intrigue
Research	Renaissance
Ride	Menagerie
Ritual	Empires
Road Network	Renaissance
Rogue	Dark Ages
Royal Galley	Allies
Royal Blacksmith	Empires
Royal Carriage	Adventures
Royal Seal	Prosperity
Sacred Grove	Nocturne
Sacrifice	Empires
Sage	Dark Ages
Sailor	Seaside
Salt the Earth	Empires
Salvager	Seaside
Sanctuary	Menagerie
Sauna/Avanto	Promo
Save	Adventures
Scavenger	Dark Ages
Scepter	Renaissance
Scheme	Hinterlands
Scholar	Renaissance
Scouting Party	Adventures
Scrap	Menagerie
Scrying Pool	Alchemy
Sculptor	Renaissance
Sea Chart	Seaside
Sea Hag	Seaside
Seaway	Adventures
Sea Witch	Seaside
Secret Cave	Nocturne
Secret Passage	Intrigue
Seer	Renaissance
Seize the Day	Menagerie
Sentinel	Allies
Sentry	Base
Settlers/Bustling Village	Empires
Sewers	Renaissance
Shanty Town	Intrigue
Sheepdog	Menagerie
Shepherd	Nocturne
Silk Merchant	Renaissance
Silk Road	Hinterlands
Silos	Renaissance
Sinister Plot	Renaissance
Skirmisher	Allies
Skulk	Nocturne
Sleigh	Menagerie
Smithy	Base
Smugglers	Seaside
Snowy Village	Menagerie
Soothsayer	Guilds
Souk	Hinterlands
Specialist	Allies
Spice Merchant	Hinterlands
Spices	Renaissance
Squire	Dark Ages
Stables	Hinterlands
Stampede	Menagerie
Star Chart	Renaissance
Steward	Intrigue
Stockpile	Menagerie
Stonemason	Guilds
Storeroom	Dark Ages
Storyteller	Adventures
Summon	Promo
Supplies	Menagerie
Swamp Hag	Adventures
Swap	Allies
Swashbuckler	Renaissance
Swindler	Intrigue
Sycophant	Allies
Tactician	Seaside
Talisman	Prosperity
Tax	Empires
Taxman	Guilds
Temple	Empires
Throne Room	Base
Tiara	Prosperity
Tide Pools	Seaside
Toil	Menagerie
Tomb	Empires
Tormentor	Nocturne
Torturer	Intrigue
Tournament	Cornucopia
Tower	Empires
Town	Allies
Townsfolk	Allies
Tracker	Nocturne
Trade	Adventures
Trader	Hinterlands
Trade Route	Prosperity
Trading Post	Intrigue
Tragic Hero	Nocturne
Trail	Hinterlands
Training	Adventures
Transmogrify	Adventures
Transmute	Alchemy
Transport	Menagerie
Trappers' Lodge	Allies
Travelling Fair	Adventures
Treasure Map	Seaside
Treasurer	Renaissance
Treasure Trove	Adventures
Treasury	Seaside
Triumph	Empires
Triumphal Arch	Empires
Tunnel	Hinterlands
Underling	Allies
University	Alchemy
Upgrade	Intrigue
Urchin	Dark Ages
Vagrant	Dark Ages
Vampire	Nocturne
Vassal	Base
Vault	Prosperity
Venture	Prosperity
Villa	Empires
Village	Base
Village Green	Menagerie
Villain	Renaissance
Vineyard	Alchemy
Wall	Empires
Walled Village	Promo
Wandering Minstrel	Dark Ages
War Chest	Prosperity
Warehouse	Seaside
Watchtower	Prosperity
Wayfarer	Menagerie
Way of the Butterfly	Menagerie
Way of the Camel	Menagerie
Way of the Chameleon	Menagerie
Way of the Frog	Menagerie
Way of the Goat	Menagerie
Way of the Horse	Menagerie
Way of the Mole	Menagerie
Way of the Monkey	Menagerie
Way of the Mouse	Menagerie
Way of the Mule	Menagerie
Way of the Otter	Menagerie
Way of the Owl	Menagerie
Way of the Ox	Menagerie
Way of the Pig	Menagerie
Way of the Rat	Menagerie
Way of the Seal	Menagerie
Way of the Sheep	Menagerie
Way of the Squirrel	Menagerie
Way of the Turtle	Menagerie
Way of the Worm	Menagerie
Weaver	Hinterlands
Wedding	Empires
Werewolf	Nocturne
Wharf	Seaside
Wheelwright	Hinterlands
Wild Hunt	Empires
Windfall	Empires
Wine Merchant	Adventures
Wishing Well	Intrigue
Witch	Base
Witch's Hut	Hinterlands
Wizards	Allies
Wolf Den	Empires
Woodworkers' Guild	Allies
Worker's Village	Prosperity
Workshop	Base
Young Witch	Cornucopia
Ruins	Dark Ages
Potion	Alchemy
Spoils	Dark Ages
Ghost	Nocturne
Wish	Nocturne
Imp	Nocturne
Will-o'-Wisp	Nocturne
Horse	Menagerie
